TheTime	B_DO	B_K	B_LevelControl_in	B_LevelControl_out	B_MFC	B_NH4	B_pH	B_Pump_acid	B_Pump_base	B_Pump_effluent	B_Pump_effluent_speed	B_Pump_influent	B_Pump_influent_speed	B_Stirrer	B_T_DO	B_T_ISE	B_Valve_air	B_Valve_N2	B_slopeNH4
42424.72304	0	0.260	-0.41		0	12.5	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0002926596
42424.72310	0	0.260	-0.41		0	12.5	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0002799178
42424.72315	0	0.260	-0.41		0	12.5	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0002673100
42424.72321	0	0.260	-0.41		0	12.5	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0002548445
42424.72327	0	0.260	-0.41		0	12.5	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0002426602
42424.72333	0	0.260	-0.41		0	12.5	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0002307567
42424.72339	0	0.260	-0.41		0	12.5	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0002190941
42424.72344	0	0.260	-0.41		0	12.5	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0002078936
42424.72350	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001970227
42424.72356	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001865826
42424.72362	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001767061
42424.72368	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001672895
42424.72373	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001582451
42424.72379	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001495964
42424.72385	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001412719
42424.72391	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001334119
42424.72397	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001258045
42424.72402	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001185659
42424.72408	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001119210
42424.72414	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001057490
42424.72420	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	0.0001000712
42424.72426	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	9.487469e-05
42424.72431	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	0.50	1.12	1.0	22.3	20.1	0	0	9.017883e-05
42424.72437	0	0.260	-0.41		0	12.4	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.2	0	1.0	8.594837e-05
42424.72443	0	0.260	-0.40		0	12.4	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.2	0	1.0	8.205370e-05
42424.72449	0	0.262	-0.40		0	12.5	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.2	0	1.0	7.767912e-05
42424.72455	0	0.264	-0.41		0	12.6	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.2	0	1.0	6.716691e-05
42424.72460	0	0.269	-0.41		0	12.7	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	20.2	0	1.0	4.663370e-05
