TheTime	B_DO	B_K	B_LevelControl_in	B_LevelControl_out	B_MFC	B_NH4	B_pH	B_Pump_acid	B_Pump_base	B_Pump_effluent	B_Pump_effluent_speed	B_Pump_influent	B_Pump_influent_speed	B_Stirrer	B_T_DO	B_T_ISE	B_Valve_air	B_Valve_N2	B_slopeNH4
42424.83345	0	0.176	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0004962134
42424.83351	0	0.176	-0.40		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0004970329
42424.83356	0	0.176	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0004978739
42424.83362	0	0.176	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0004985117
42424.83368	0	0.176	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0004991850
42424.83374	0	0.176	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005000514
42424.83380	0	0.176	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005009447
42424.83385	0	0.176	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005018536
42424.83391	0	0.177	-0.40		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005027577
42424.83397	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005036767
42424.83403	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005045665
42424.83409	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005053511
42424.83414	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005060209
42424.83420	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005065777
42424.83426	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005070550
42424.83432	0	0.177	-0.40		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005074519
42424.83438	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005079404
42424.83443	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005084508
42424.83449	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005088109
42424.83455	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005090153
42424.83461	0	0.177	-0.41		0	12.8	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.7	0	0	0.0005091528
42424.83467	0	0.177	-0.40		0	12.8	7.19	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0005091561
42424.83472	0	0.177	-0.41		0	12.8	7.19	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0005090280
42424.83478	0	0.177	-0.41		0	12.7	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0005087428
42424.83484	0	0.178	-0.41		0	12.7	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0005082904
42424.83490	0	0.178	-0.41		0	12.8	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0005070472
42424.83496	0	0.180	-0.41		0	12.8	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0005028979
42424.83501	0	0.183	-0.41		0	12.9	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0004919617
42424.83507	0	0.186	-0.41		0	13.1	7.19	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0004688668
42424.83513	0	0.191	-0.41		0	13.3	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0004290614
42424.83519	0	0.195	-0.41		0	13.6	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0003712892
42424.83525	0	0.200	-0.41		0	13.9	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0002932336
42424.83530	0	0.206	-0.41		0	14.2	7.20	0	0	0	2.67	1.0	1.12	1.0	22.3	19.8	0	1.0	0.0001897718
