TheTime	B_DO	B_K	B_LevelControl_in	B_LevelControl_out	B_MFC	B_NH4	B_pH	B_Pump_acid	B_Pump_base	B_Pump_effluent	B_Pump_effluent_speed	B_Pump_influent	B_Pump_influent_speed	B_Stirrer	B_T_DO	B_T_ISE	B_Valve_air	B_Valve_N2	B_slopeNH4
42424.89016	0	0.168	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004664673
42424.89022	0	0.168	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004633233
42424.89028	0	0.168	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004600491
42424.89034	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004566511
42424.89040	0	0.169	-0.40		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004531717
42424.89045	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004496251
42424.89051	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004460292
42424.89057	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004423532
42424.89063	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004385873
42424.89069	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004347489
42424.89074	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004308556
42424.89080	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004269849
42424.89086	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004231547
42424.89092	0	0.169	-0.40		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004193610
42424.89098	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004155780
42424.89103	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004118379
42424.89109	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004080621
42424.89115	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004041883
42424.89121	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0004002985
42424.89127	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0003963572
42424.89132	0	0.169	-0.41		0	12.3	7.20	0	0	0	2.67	0	1.12	1.0	22.3	19.8	0	0	0.0003924580
