	mean	std
2017-02-20 17:59:32	-387.74025974025966	40.89871906685307
2017-02-20 18:09:33	-406.06809331019866	42.02428297766054
2017-02-20 18:19:30	-424.9914070891513	51.15441710399414
2017-02-20 18:24:31	-434.79957035445784	47.599745488562604
2017-02-20 19:15:06	-397.27009832273	42.462122969060495
2017-02-20 19:25:13	-420.7368751549202	47.22914958257852
2017-02-20 19:35:04	-428.8118152524168	48.63146699229254
2017-02-20 19:39:25	-430.46616541353427	11.016927279066053
2017-02-20 20:30:00	-356.45376287549425	58.64224063132082
2017-02-20 20:40:17	-398.90618854829376	43.78982389183945
2017-02-20 20:50:03	-415.66809331019823	36.4147844987932
2017-02-20 20:56:45	-411.14344231619805	40.94111592022668
2017-02-20 21:51:21	-340.0420482743067	29.478456976516533
2017-02-20 22:01:27	-387.580833741158	44.53393624618492
2017-02-20 22:11:14	-404.36278862837605	42.69786931979749
2017-02-20 22:16:15	-411.2056235262708	41.015591209625136
